city,latitude,longitude,temperature,humidity,wind_speed,clouds
Ushuaia,-54.8,-68.3,49.66,46,20.71,75
Dikson,73.5069,80.5464,27.05,62,13.15,99
Dalvik,65.9702,-18.5286,26.53,77,8.01,36
Qaanaaq,77.484,-69.3632,12.74,83,5.23,94
Cape Town,-33.9258,18.4232,66.13,72,3.0,0
Sept-Iles,50.2001,-66.3821,51.06,80,3.0,75
Albany,42.6526,-73.7562,72.48,57,1.01,12
Avarua,-21.2078,-159.775,73.45,68,8.05,96
Busselton,-33.65,115.3333,49.05,76,14.72,9
Pyaozerskiy,65.8333,31.1667,29.77,95,16.53,100
Rikitea,-23.1203,-134.9692,74.37,73,18.45,0
Atuona,-9.8,-139.0333,76.96,81,13.06,28
Banda Aceh,5.5577,95.3222,78.98,76,5.01,99
Punta Arenas,-53.15,-70.9167,48.22,49,23.02,75
Bluff,-46.6,168.3333,46.17,64,3.38,98
Esperance,-33.8667,121.9,57.04,85,15.41,77
Longyearbyen,78.2186,15.6401,10.24,72,11.5,20
Port Alfred,-33.5906,26.891,65.64,85,22.06,8
Zvishavane,-20.3267,30.0665,64.04,59,9.01,0
Nouadhibou,20.931,-17.0347,75.18,73,16.11,0
Tiksi,71.6872,128.8694,12.99,93,5.97,100
Katsuura,35.1333,140.3,58.44,52,12.03,83
Hobart,-42.8794,147.3294,43.65,81,8.05,72
Bogo,11.0517,124.0055,78.19,89,5.19,100
Ampanihy,-24.7,44.75,68.99,80,12.68,82
Naze,28.3667,129.4833,67.44,68,10.29,100
Edinburg,26.3017,-98.1633,87.58,59,18.01,90
Mahebourg,-20.4081,57.7,73.69,73,6.91,75
Bredasdorp,-34.5322,20.0403,63.28,93,12.15,78
Lake Jackson,29.0339,-95.4344,81.05,76,5.28,93
Tuktoyaktuk,69.4541,-133.0374,23.0,100,6.91,75
Yellowknife,62.456,-114.3525,38.41,87,14.97,75
Kimbe,-5.5502,150.1429,75.56,93,2.1,70
Narsaq,60.9167,-46.05,36.01,36,1.66,0
Vaini,-21.2,-175.2,69.96,94,6.91,20
Tasiilaq,65.6145,-37.6368,28.49,57,11.07,96
Torit,4.4133,32.5678,77.49,65,1.66,92
Hwange,-18.3693,26.5019,78.21,45,8.43,2
Bobrovka,54.047,61.7455,33.84,95,18.9,100
Upernavik,72.7868,-56.1549,33.17,99,15.19,100
Rokytne,51.2796,27.214,53.28,60,14.2,98
Barrow,71.2906,-156.7887,28.42,86,26.46,90
Arraial do Cabo,-22.9661,-42.0278,62.46,88,8.05,75
Saskylakh,71.9167,114.0833,4.32,100,3.76,91
Dhidhdhoo,6.8833,73.1,81.75,74,12.26,98
East London,-33.0153,27.9116,67.14,77,14.97,0
Hermanus,-34.4187,19.2345,63.81,73,10.58,90
Chokurdakh,70.6333,147.9167,-15.77,94,2.77,90
Saint-Philippe,-21.3585,55.7679,72.61,79,9.75,45
Wahiawa,21.5028,-158.0236,66.45,84,5.75,1
Pevek,69.7008,170.3133,18.21,93,14.36,100
Balkanabat,39.5108,54.3671,60.42,53,13.0,97
Bathsheba,13.2167,-59.5167,88.41,66,20.71,40
Atescatempa,14.1744,-89.7425,78.46,88,2.98,100
Aksum,14.1245,38.7244,62.53,46,13.29,63
Maumere,-8.6199,122.2111,79.77,83,5.68,75
Kununurra,-15.7667,128.7333,80.58,74,0.0,84
Gogrial,8.5332,28.1004,71.76,88,11.61,100
San Andres,12.5847,-81.7006,87.82,74,9.22,20
Ponta do Sol,32.6667,-17.1,76.75,75,3.91,98
Ilulissat,69.2167,-51.1,28.51,79,4.16,100
Bethel,41.3712,-73.414,72.32,59,3.0,58
Carnarvon,-24.8667,113.6333,68.07,56,14.97,90
Marsh Harbour,26.5412,-77.0636,79.86,56,16.06,40
Port Elizabeth,-33.918,25.5701,64.69,88,13.8,0
Zhumadian,32.9794,114.0294,47.52,88,4.85,83
Hami,42.8,93.45,59.47,16,4.38,100
Lompoc,34.6391,-120.4579,64.89,67,1.99,40
Malinovoye Ozero,51.6753,79.7825,46.38,43,8.16,44
Kloulklubed,7.0419,134.2556,79.93,79,12.01,100
Hasaki,35.7333,140.8333,51.73,55,17.92,60
Irece,-11.3042,-41.8558,90.09,32,7.18,54
Changji,44.0167,87.3167,47.19,53,6.71,0
Namatanai,-3.6667,152.4333,78.76,83,3.51,55
Kosa,59.9445,54.9977,30.6,82,3.53,96
Thompson,55.7435,-97.8558,35.76,55,13.8,20
Tezu,27.9167,96.1667,71.78,99,2.89,100
Urengoy,65.9667,78.3667,32.99,89,9.04,96
Ostrovnoy,68.0531,39.5131,30.67,68,9.82,100
New Norfolk,-42.7826,147.0587,44.37,73,1.01,65
Nong Phai,15.9903,101.0618,76.1,92,1.19,17
Nome,64.5011,-165.4064,33.87,93,9.22,90
Dunedin,-45.8742,170.5036,48.79,79,4.45,81
Stavern,59.0,10.0333,51.66,80,22.95,69
Khatanga,71.9667,102.5,19.65,92,3.65,97
Canita,9.2097,-78.8811,81.91,80,2.48,99
Langsa,4.4683,97.9683,73.31,96,1.61,100
Kapaa,22.0752,-159.319,66.52,94,5.75,1
Severo-Kurilsk,50.6789,156.125,35.6,68,23.67,72
Calamar,10.2511,-74.9146,87.75,62,1.81,99
Alice Springs,-23.7,133.8833,74.75,41,8.05,47
Olga,43.7444,135.2892,28.74,69,6.33,34
Hokitika,-42.7167,170.9667,47.16,77,4.92,96
Dasoguz,41.8363,59.9666,53.55,66,9.22,0
Goderich,43.7501,-81.7165,61.32,77,9.22,41
Buala,-8.145,159.5921,79.45,81,0.4,60
Isangel,-19.55,169.2667,75.45,87,10.87,100
Botwood,49.1499,-55.3482,49.89,95,9.73,100
Adrar,27.8743,-0.2939,82.65,26,16.11,0
Puerto Ayora,-0.7393,-90.3518,76.96,81,11.12,94
Sosnovo-Ozerskoye,52.5249,111.5418,26.13,90,4.81,7
Nicoya,10.1483,-85.452,85.55,75,3.33,100
Benito Juarez,19.385,-99.165,69.85,57,1.01,40
Saldanha,-33.0117,17.9442,60.85,73,9.48,94
Alofi,-19.0595,-169.9187,73.29,73,10.36,98
Darhan,49.4867,105.9228,34.41,61,4.63,0
Cangucu,-31.395,-52.6756,64.54,62,9.98,23
Dir,35.2058,71.8756,59.61,58,6.06,1
Beinamar,8.6698,15.3813,74.23,91,5.79,95
Butaritari,3.0707,172.7902,81.12,73,7.18,10
Lebu,-37.6167,-73.65,57.87,76,8.1,79
Takoradi,4.8845,-1.7554,78.71,87,9.51,86
Lansing,42.7325,-84.5555,69.08,61,10.96,25
Labuhan,-6.8844,112.2051,80.33,79,8.57,66
Los Llanos de Aridane,28.6585,-17.9182,76.75,50,12.66,51
Walvis Bay,-22.9575,14.5053,59.95,82,4.61,90
Thohoyandou,-22.9456,30.485,64.85,52,2.44,4
Westfield,42.1251,-72.7495,72.63,53,7.0,20
Maneadero,31.7167,-116.5667,68.11,66,4.54,24
Sao Joao da Barra,-21.6403,-41.0511,64.49,93,9.75,100
Pisco,-13.7,-76.2167,66.25,77,10.36,0
Shache,38.4167,77.2406,57.0,21,5.68,95
Deputatskiy,69.3,139.9,-1.59,98,1.9,99
Kruisfontein,-34.0033,24.7314,67.89,85,8.28,50
Mar del Plata,-38.0023,-57.5575,60.87,1,15.99,20
Muros,42.7762,-9.0603,65.17,86,16.44,26
Kieta,-6.2167,155.6333,79.07,85,2.48,90
Gopalur,16.6167,77.8,75.22,71,7.54,99
Namibe,-15.1961,12.1522,67.75,87,8.12,23
Zhigansk,66.7697,123.3711,21.13,92,6.69,91
Sesheke,-17.4759,24.2968,85.68,25,11.9,85
Lerwick,60.1545,-1.1494,39.2,86,22.73,96
Ahipara,-35.1667,173.1667,59.47,94,13.04,100
Shingu,33.7333,135.9833,50.9,72,6.02,100
Jamestown,42.097,-79.2353,65.07,60,15.01,75
Koulamoutou,-1.1303,12.4736,72.23,97,0.54,90
Crusetu,44.6333,23.6667,50.67,70,1.95,6
Trujillo,-8.116,-79.03,62.56,88,9.22,75
Bengkulu,-3.8004,102.2655,74.23,93,6.29,100
Portland,45.5234,-122.6762,56.55,82,3.0,75
Northam,51.0333,-4.2167,52.32,92,2.82,68
Yumen,40.2833,97.2,42.53,24,9.82,97
Shelburne,44.0787,-80.2041,57.65,80,12.93,100
Karimpur,23.9667,88.6167,76.66,93,5.37,98
Cowansville,45.2001,-72.7491,58.68,53,4.61,5
Along,28.1667,94.7667,70.95,100,0.51,100
Bail Hongal,15.8167,74.8667,75.76,61,5.68,98
Seoul,37.5683,126.9778,39.52,93,4.61,0
Rio Gallegos,-51.6226,-69.2181,51.85,30,23.02,75
Iisaku,59.1014,27.3081,53.37,95,18.75,100
Normandin,48.8333,-72.5321,49.91,37,2.3,100
Sheopur,25.6667,76.7,73.45,42,4.27,0
San Cristobal,7.7669,-72.225,78.98,36,6.24,12
Thunder Bay,48.4001,-89.3168,43.83,64,8.05,75
Presidencia Roque Saenz Pena,-26.7852,-60.4388,87.69,19,6.31,3
Lorengau,-2.0226,147.2712,80.71,78,6.17,73
Lanzhou,36.0564,103.7922,40.28,60,2.13,41
Pangody,65.85,74.4859,29.71,90,8.7,53
Dolores,-36.3132,-57.6792,71.6,53,12.39,1
Soe,-9.8607,124.284,67.96,79,2.68,55
Xining,36.6167,101.7667,39.49,90,1.72,100
Tessalit,20.1986,1.0114,82.6,16,10.65,0
Norman Wells,65.282,-126.8329,32.04,69,4.61,75
Santander Jimenez,24.2167,-98.4667,85.21,50,5.59,17
Vanimo,-2.6741,141.3028,76.95,90,4.38,100
Cherskiy,68.75,161.3,-10.77,100,4.7,100
Bilma,18.6853,12.9164,89.85,12,9.22,0
Clyde River,70.4692,-68.5914,32.23,80,11.5,75
Aluksne,57.4167,27.05,54.16,91,18.84,100
Altamont,42.2068,-121.7372,47.08,70,7.0,90
Graham,47.0529,-122.2943,51.75,90,3.0,75
Kiama,-34.6833,150.8667,58.51,94,1.01,41
Le Port,-20.9373,55.2919,71.8,93,5.61,68
Santa Isabel,-23.3156,-46.2214,61.38,89,6.67,100
Hithadhoo,-0.6,73.0833,81.14,78,11.77,78
Viedma,-40.8135,-62.9967,86.11,13,17.96,0
Beringovskiy,63.05,179.3167,17.06,80,7.52,85
Muscat,23.6139,58.5922,85.08,60,4.9,5
Yulara,-25.2406,130.9889,66.04,30,6.91,0
